ECLAC,,,
Argentina,ACIFI S.A.,LEASING OR RENTAL SERVICES,"125,800.00"
Chile,CARLOS SELMAN DACCARETT CONSULTORA,Fire installations maintenance and repair,"37,567.35"
Chile,CERO UNO ARQUITECTOS LIMITADA,ARCHITECTURE,"32,994.77"
Chile,DIMACOFI S.A.,Printing equipment lease,"119,575.79"
Chile,DIMACOFI S.A.,Printing equipment lease,"105,794.74"
Chile,DIMACOFI S.A.,Printing equipment lease,"77,157.73"
Chile,EMPRESA DE SERVICIOS ENERGETICOS SA,GENERAL BUILDING MAINTENANCE,"75,345.26"
Chile,GONZALEZ ACKERKNECHT LIMITADA,Cleaning services,"462,478.16"
Chile,INMOBILIARIA ALFABETA ARTES GRAFICA,Printing services,"32,265.54"
Chile,SERVICIOS INTEGRALES LTDA.,GENERAL MANAGEMENT SERVICES,"64,668.69"
Chile,SONDA S.A.,PC maintenance and support,"340,394.36"
Mexico,FREDI ABDO SILVERA TUACHI Y COP.,Real estate services,"539,593.84"
Mexico,INMOBILIARIA DATA S.C.,Real estate services,"70,224.39"
Mexico,OFICINAS CORPORATIVAS CERVANTES 193,GENERAL BUILDING MAINTENANCE,"39,667.62"
Trinidad and Tobago,MARITIME LIFE (CARIBBEAN) LIMITED,LEASING OR RENTAL SERVICES,"145,000.00"
Trinidad and Tobago,MARITIME LIFE (CARIBBEAN) LIMITED,LEASING OR RENTAL SERVICES,"145,000.00"
Trinidad and Tobago,TELECOM SECURITY SERVICES,SECURITY SERVICES,"46,230.00"
ESCAP,,,
Kazakhstan,GREEN TECH LTD,Landscaping Services,"35,007.93"
Netherlands,SWETS INFORMATION SERVICES B.V.,Supscription Services,"94,850.00"
Netherlands,SWETS INFORMATION SERVICES B.V.,Subscription,"84,697.27"
Republic of Korea,BEST WESTERN PREMIER SONGDO PARK HOTEL,Accommodation and Meeting Package,"41,218.79"
Thailand,ABB LIMITED,Maintenance Services,"75,065.27"
Thailand,ACADEMIC SERVICE CENTER - RANGSIT UNIVERSITY,University,"67,542.43"
Thailand,ADECCO PHAHOLYOTHIN RECRUITMENT LTD.,Outsourced Personnel,"82,245.44"
Thailand,ADECCO PHAHOLYOTHIN RECRUITMENT LTD.,Outsourced Personnel,"59,224.55"
Thailand,ADECCO PHAHOLYOTHIN RECRUITMENT LTD.,Outsourced Personnel,"48,379.89"
Thailand,ADECCO PHAHOLYOTHIN RECRUITMENT LTD.,Outsourced Personnel,"45,842.03"
Thailand,ADECCO PHAHOLYOTHIN RECRUITMENT LTD.,Outsourced Personnel,"30,661.88"
Thailand,"CENTRAL WORLD HOTEL CO., LTD. (CENTARA GRAND)",Accommodation and Meeting Package,"36,915.80"
Thailand,EMC INFORMATION SYSTEMS (THAILAND) LTD.,Maintenance Services,"58,304.00"
Thailand,EMC INFORMATION SYSTEMS (THAILAND) LTD.,Maintenance Services,"54,163.00"
Thailand,EMC INFORMATION SYSTEMS (THAILAND) LTD.,Consultancy Services,"41,856.00"
Thailand,EMC INFORMATION SYSTEMS (THAILAND) LTD.,Consultancy Services,"39,240.00"
Thailand,"FMA GROUP CO., LTD.",Maintenanc es Services,"31,101.56"
Thailand,LOCKTON WATTANA INSURANCE BROKERS (THAILAND) LTD.,Insurance,"48,032.34"
Thailand,"METRO MACHINERY CO., LTD.",Diesel Generator,"91,592.17"
Thailand,"NAI LERT PARK HOTEL CO., LTD.",Accommodation and Meeting Package,"32,669.97"
Thailand,"NETMARKS (THAILAND) CO., LTD.",Cabling Infrastructure,"82,649.12"
Thailand,"NETMARKS (THAILAND) CO., LTD.",Cabling Infrastructure,"61,116.21"
Thailand,OTIS ELEVATOR CO. (THAILAND) LTD.,Maintenance Services,"52,949.04"
