CEPAL,,,,
Argentina,ACIFI S.A.,Other Services,1,"131,800.00"
Argentina,CONIBRA SRL,Building and Facility Construction and Maintenance Services,1,"141,708.00"
Chile,CONSTRUCTORA PAVICRET LTDA.,Building and Facility Construction and Maintenance Services,1,"199,903.76"
Chile,DATA CONVERSION SERVICE AGENCIA CHI,Computer hardware maintenance and support,1,"65,000.00"
Chile,DIMACOFI S.A.,Office equipment rental or leasing services,1,"125,296.00"
Chile,DIMACOFI S.A.,Printing,1,"172,445.13"
Chile,EMPRESA DE SERVICIOS ENERGETICOS SA,Building maintenance service,1,"92,952.16"
Chile,Name withheld for security reasons*,Architectural engineering,1,"309,554.00"
Chile,GONZALEZ ACKERKNECHT LIMITADA,General building and office cleaning and maintenance services,1,"490,332.78"
Chile,INMOB. Y CONSTRUCTORA FUNDART LTDA.,Building and Facility Construction and Maintenance Services,1,"210,270.88"
Chile,Name withheld for security reasons*,Specialized trade construction and maintenance services,1,"47,260.69"
Chile,SERVICIOS INTEGRALES LTDA.,"Management, Business Professionals, Administrative Services",1,"72,188.64"
Chile,SONDA S.A.,Computer hardware maintenance and support,1,"169,017.71"
Chile,TYCO SERVICES S.A.,Safety instrumented system installation and maintenance service,1,"52,358.58"
Colombia,RIEGO Y PAISAJISMO AGRO MANANTIALES,Building maintenance service,1,"72,605.87"
Mexico,Name withheld for security reasons*,Real estate services,3,"637,819.21"
Mexico,OFICINAS CORPORATIVAS CERVANTES 193,Building maintenance service,1,"69,269.34"
Trinidad and Tobago,MARITIME LIFE (CARIBBEAN) LIMITED,Other Services,1,"335,207.85"
Trinidad and Tobago,TELECOM SECURITY SERVICES,Security and personal safety,1,"46,230.00"
ESCWA,,,,
Lebanon,ASSIYANA SAL,General building and office cleaning and maintenance services,3,"409,876.02"
Lebanon,Dogs on Request - D.O.R,Education and Training Services,1,"48,000.00"
Lebanon,LADKANI OFFICE SOLUTIONS S.A.L.,Photocopier rental or leasing service,1,"52,657.50"
Lebanon,SOLIDERE,Building maintenance and repair services,1,"389,252.75"
United States of America,"SOME'S UNIFORMS, INC.",Freight forwarders services,1,"35,140.00"
FAO,,,,
Afghanistan,Afghan Bam Construction Company,Irrigation system construction service,1,"154,658.53"
Afghanistan,AFGHAN BERGER CONSTRUCTION COMPANY,Irrigation system construction service,1,"30,086.22"
Afghanistan,AFGHAN DARWISH CONSTRUCTION COMPANY,Irrigation system construction service,2,"347,576.90"
Afghanistan,AFGHAN LASER ENGINEERING & CONSTRUCTION COMPANY,Irrigation system construction service,1,"125,307.71"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,1,"100,002.98"
Afghanistan,Afghan Zinat Construction Company,Irrigation system construction service,1,"155,069.96"
Afghanistan,AIMAL CHAMP CONSTRUCTION COMPANY,Irrigation system construction service,1,"83,291.68"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,1,"186,538.35"
Afghanistan,Anhar Construction Company,Irrigation system construction service,1,"119,231.30"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,1,"167,786.91"
Afghanistan,ASA Construction Company,Agricultural building construction services,1,"56,910.00"
Afghanistan,ASA Construction Company,Nonresidential building construction services,1,"35,223.00"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,1,"131,051.16"
Afghanistan,ASIX Communication Afghanistan,Internet services,3,"155,580.00"
Afghanistan,Name withheld for security reasons*,Transportation and Storage and Mail Services,1,"35,294.00"
Afghanistan,Atlas Kohistan Construction & Architecture Company,Irrigation system construction service,1,"218,406.07"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,1,"96,042.23"
Afghanistan,Best Way Construction Company,Building and Facility Construction and Maintenance Services,1,"94,976.00"
Afghanistan,Construction and Social Development Company,Irrigation system construction service,1,"110,440.20"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,1,"191,356.75"
Afghanistan,Daniar Construction Company Ltd,Irrigation system construction service,1,"81,455.33"
Afghanistan,Eagle Vision Construction Company,Irrigation system construction service,1,"147,671.22"
Afghanistan,England North Group Construction Company,Irrigation system construction service,2,"143,926.96"
Afghanistan,Esa Afghan Construction Company,Irrigation system construction service,1,"387,587.40"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,3,"368,006.34"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,1,"357,462.58"
Afghanistan,Hamkar Construction Company,Irrigation system construction service,3,"269,387.64"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,1,"202,063.57"
Afghanistan,HONOR CONSTRUCTION COMPANY,Irrigation system construction service,2,"430,018.17"
Afghanistan,INCUMBENCY OF METAL ELEMENTS PRODUCTION,Building and Facility Construction and Maintenance Services,1,"33,252.58"
Afghanistan,INSURANCE CORPORATION OF AFGHANISTAN,Insurance and retirement services,1,"96,750.00"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,1,"266,965.00"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,1,"315,368.29"
Afghanistan,Khurasan Kabul Road Building & Production Company,Irrigation system construction service,1,"168,671.07"
Afghanistan,Name withheld for security reasons*,Irrigation system construction service,4,"438,556.66"
Afghanistan,Little Star Construction Company,Irrigation system construction service,1,"111,779.12"
Afghanistan,MAARIJ CONSTRUCTION COMPANY,Irrigation system construction service,1,"80,541.75"
Afghanistan,Maseer Construction Company,Irrigation system construction service,4,"444,631.74"
Afghanistan,Name withheld for security reasons*,Agricultural building construction services,1,"142,587.40"
