ECLAC,,,
Argentina,ACIFI S.A.,"Management, Business Professionals and Admin. Services","134,400.00"
Chile,4L SPA,Manufacturing components,"76,755.00"
Chile,AAIR MEDIO AMBIENTE LTDA.,"Management, Business Professionals and Admin. Services","30,856.98"
Chile,CARLOS SELMAN DACCARETT CONSULTORA,Building Construction and Maintenance Services,"34,345.05"
Chile,DARTEL S.A.,Manufacturing components,"31,060.78"
Chile,DATA CONVERSION SERVICE AGENCIA CHI,"Engineering, Research and Technology Based Services","160,339.23"
Chile,DIMACOFI S.A.,"Editorial, Design and Graphic Services","306,218.75"
Chile,DIMACOFI S.A.,"Management, Business Professionals and Admin. Services","103,461.70"
Chile,EMPRESA DE SERVS ENERGETICOS LTDA,Building Construction and Maintenance Services,"175,850.34"
Chile,FLORES Y EVENTOS CARMEN MONTANÉ EIR,"Travel, food and lodging","42,765.00"
Chile,FRANCISCO PONCE INOSTROZA CONSTRUCC,Building Construction and Maintenance Services,"459,045.17"
Chile,GONZALEZ ACKERKNECHT LIMITADA,Industrial cleaning Services,"405,897.81"
Chile,IMP. DIST. COM. FITFLOW CH. LTDA,Mining and well drilling equipment,"53,108.41"
Chile,IMP. Y EXP. IMPOMAK S.A.,Security and Safety Equipment,"57,825.70"
Chile,INMOB. Y CONSTRUCTORA FUNDART LTDA.,Building Construction and Maintenance Services,"537,780.84"
Chile,INVERSIONES M Y M LTDA.,Transportation and Storage Services,"37,719.64"
Chile,LEVEL 3 CHILE S.A.,"Engineering, Research and Technology Based Services","30,140.37"
Chile,NELSON GREGORIO GONZALEZ ALFARO,Building Construction and Maintenance Services,"40,513.92"
Chile,NET UNO LTDA,"Farming, Fishing and Forestry Services","150,479.65"
Chile,NOVELL CHILE S.A.,"Engineering, Research and Technology Based Services","75,910.00"
Chile,"PAISAJISMO, ARQ. Y CONST. PAISARQ L",Building Construction and Maintenance Services,"61,549.76"
Chile,PG CORP SERVICIOS SA,Industrial cleaning Services,"437,000.00"
Chile,PROYECTOS Y PRODUCTOS PROF.. LTDA.,Domestic Aappliances and Consumer Elctronics,"36,902.83"
Chile,Schultz Ingenieria y Maquinarias Lt,Building Construction and Maintenance Services,"472,431.98"
Chile,SERVICIOS CAMBEL HVAC CHILE LTDA.,"Farming, Fishing and Forestry Services","162,712.21"
Chile,SERVICIOS INTEGRALES LTDA.,Transportation and Storage Services,"58,517.32"
Denmark,DAN:OFFICE APS,IT and Communications Equipment,"98,387.00"
Denmark,DAN:OFFICE APS,Manufacturing components,"39,007.00"
Mexico,FREDI ABDO SILVERA TUACHI Y COP.,"Management, Business Professionals and Admin. Services","546,113.27"
Mexico,LENOVO (UNITED STATES) INC.,Manufacturing components,"32,405.00"
Mexico,OFICINAS CORPORATIVAS CERVANTES 193,Building Construction and Maintenance Services,"79,164.60"
Trinidad and Tobago,ALL PRO SECURITY SERVICES LTD.,Public Order and Security and Safety Services,"44,617.82"
Trinidad and Tobago,MARITIME LIFE (CARIBBEAN) LIMITED,"Management, Business Professionals and Admin. Services","438,489.25"
Trinidad and Tobago,Radisson Trinidad Limited,"Management, Business Professionals and Admin. Services","37,935.57"
United States of America,"CISCO SYSTEMS, INC.",Motor vehicles and parts,"138,551.50"
United States of America,LENOVO (UNITED STATES) INC.,IT and Communications Equipment,"92,000.00"
United States of America,SOMES WORLD WIDE UNIFORMS,"Apparel, luggage and personal care","34,006.74"
United States of America,WALDNER'S BUSINESS ENVIRONMENTS,Furniture,"73,999.00"
ESCAP,,,
China,SHANGHAI DISABLED,"Management, Business Professionals and Admin. Services","36,900.00"
Denmark,DANOFFICE APS,IT and Communications Equipment,"129,024.00"
Denmark,DANOFFICE APS,Transportation and Storage Services,"2 ,025.00"
Fiji,Kadavu Holdings Limited,"Management, Business Professionals and Admin. Services","61,047.28"
India,T&T Motors Ltd.,Motor vehicles and parts,"95,645.58"
Indonesia,CV. Barat '99,Public Order and Security and Safety Services,"231,641.61"
Indonesia,Hotel Sari Pan,"Travel, food and lodging","146,905.71"
Indonesia,"JIHD HOTEL BOROBUDUR I (HOTEL BOROBUDUR, JAKA","Travel, food and lodging","37,357.19"
Indonesia,Name withheld for security reasons,Electrical Systems and Lighting Components,"208,290.79"
Indonesia,Name withheld for security reasons,IT and Communications Equipment,"73,514.40"
Indonesia,Name withheld for security reasons,Public Utilities and Public Sector Related Services,"147,414.68"
Indonesia,PT Samafitro,Office Equipment,"226,070.57"
Indonesia,PT Wijaya Sukses,"Editorial, Design and Graphic Services","83,779.16"
Indonesia,PT. INNOVASI,Industrial manufacturing Services,"31,620.32"
Indonesia,PT. PLN (Persero),Public Utilities and Public Sector Related Services,"33,176.00"
Italy,Gee Square Holding,Power generation machinery,"51,505.30"
Italy,MWH SPA,Building Construction and Maintenance Services,"80,000.00"
Pakistan,Hidayatullah,Building Construction and Maintenance Services,"360,706.33"
Philippines,UNDP-PHILIPPINES,"Management, Business Professionals and Admin. Services","40,156.67"
Republic of Korea,OK Center Hotel,"Travel, food and lodging","70,297.72"
Thailand,19 ASSOCIATES,Building Construction and Maintenance Services,"38,219.78"
Thailand,ABB LIMITED,IT and Communications Equipment,"36,811.68"
Thailand,ADECCO PHAHOLYOTHIN RECRUITMENT LTD.,"Management, Business Professionals and Admin. Services","212,997.09"
Thailand,AdeccoPhaholyothinRe,"Management, Business Professionals and Admin. Services","39,120.11"
Thailand,ADVANCED WIRELESS NETWORK CO. LTD.,IT and Communications Equipment,"50,621.68"
Thailand,AE GROUP COMPANY LIMITED,Laboratory and Testing Equipment,"61,962.28"
Thailand,AIN GlobalComm,Public Utilities and Public Sector Related Services,"48,149.16"
Thailand,"AMR ASIA CO., LTD.",IT and Communications Equipment,"36,279.29"
Thailand,AV TECH SYSTEMS,"Management, Business Professionals and Admin. Services","36,453.76"
Thailand,AV TECH SYSTEMS,"Printing, Photographic and AV Equipment","54,317.55"
Thailand,AV TECH SYSTEMS,"Travel, food and lodging","82,451.25"
Thailand,BENCHASIRI PARK PROPERTY CO. LTD.,"Travel, food and lodging","31,963.37"
